Sitio de desembarco...10;Cuartil_inf_No._UEP_hist;Cuartil_sup_No._UEP_hist
La Grande; ; 
Buenavista (La Dorada);2;15
Paujil;2;44
Puerto Principal (Puerto Lleras);2;13
El Muelle (Barrancabermeja); ; 
Puerto de Gamarra; ; 
Bazán La Bocana; ; 
Honda; ; 
Montaño; ; 
Santa Cruz - Naya; ; 
Betania - Naya; ; 
Chamuscado - Naya; ; 
La Tagua;1;4
Plaza de mercado (La Dorada); ; 
Curvaradó;2;5
Soledad Pueblito; ; 
Río San Miguel;1;3
Clarinetero;1;4
Punta Bonita; ; 
Puerto del Pescado (San José Del Guaviare);1;1
Puerto (Orocué);1;6
Puerto de las Canoas (Puerto Berrío); ; 
Pueblo Nuevo; ; 
Puerto Kenedy; ; 
Bajito Vaquería; ; 
Comercializadores independientes (Guapi); ; 
Puerto de desembarco (Mitú);1;4
Puerto Barrio El Progreso; ; 
Vigía; ; 
El Piñal;2;2
Puerto Cabuyaro; ; 
Curillo;1;5
La Punta - Firme Cifuentes; ; 
Chamón; ; 
Chicopez; ; 
El Puerto (Tumaco); ; 
Puerto ESSO;1;6
Tagachí; ; 
Puerto de desembarco (Barrancominas);1;12
Muelles del Camarón; ; 
Pueblo Nuevo (Barrancominas);1;5
Muelle Principal (Puerto Leguízamo);1;7
Juanchaco; ; 
El Muelle (Puerto López);6;22
Galería (Guapi); ; 
Limones; ; 
Puerto Víctor Peña; ; 
Quiroga; ; 
Puerto César Augusto; ; 
Marriaga;6;22
Cartagena del Chairá;2;10
Las Balsas;1;5
La Casa del Pescador; ; 
Puerto (Arauquita);2;10
Distribuidoras de Tumaco; ; 
Desembarcadero (Murindó);1;1
La Isla de los Palacios; ; 
Muelle Hong Kong; ; 
Caño Mina;1;1
Puerto el Waffe continental; ; 
La Plata - Bahía Málaga;1;5
San Antonio de Padua; ; 
Puerto Rico [Meta];2;15
Milagros de la Mar; ; 
Puerto Wilches;2;9
Mapiripán;3;17
Amarales; ; 
Muelle La Esmeralda;1;1
Bodegas (Leticia);1;8
El Malecón (Neiva);2;10
Puerto Principal (Leticia);2;11
La Gloria; ; 
Desembarcadero (Supía);2;4
Malecón (Puerto Gaitán);1;7
Riosucio; ; 
Laguna Colorada;1;3
Monserrate;1;7
La Ensenada; ; 
Puente Pindo; ; 
San Miguel (Puerto Gaitán);1;7
Bazán; ; 
San Alejandro; ; 
Policía fluvial (Quibdó); ; 
Aparca;1;4
Plaza de mercado (Puerto Boyacá);1;2
Casco Urbano (Arauca);2;14
Puerto Serviez; ; 
El Puerto (Puerto Carreño); ; 
Playa Nueva;1;6
San José de la Calle; ; 
Candelillas de Mar; ; 
Chontal; ; 
Muelle Pescadores (Puerto Boyacá);1;8
Puerto de los Jhonsons (Puerto Boyacá);1;6
Miel de Abeja; ; 
La Sierpe - Bahía Málaga;1;3
Guataquí;1;3
Miramar - Bahía Málaga;1;7
Timbiquí; ; 
La Pedrera;1;3
Santuario;1;1
Puerto Triunfo;2;8
Buchadó; ; 
Chacón; ; 
La Rampa (Barrancabermeja);1;1
Muelle Las Flores; ; 
Corozal; ; 
Puerto Arango;1;1
Muelle La Samaritana; ; 
Cooperativas - Pueblo Nuevo; ; 
Pesqueras - Pueblo Nuevo; ; 
Puerto principal (San Vicente del Caguán);1;5
Puerto Boyacá;3;16
Muelle Seco - Pueblo Nuevo; ; 
Puerto Bogotá;6;33
